time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1975-06-23T01:14:38.100Z,36.02,-90.01,5,2.3,mlg,,,,,nm,nm600233,2016-04-14T12:52:09.610Z,"7km NNW of Gosnell, Arkansas",earthquake,,,,,reviewed,nm,nm
1975-07-06T08:48:13.900Z,36.19,-89.49,5,2.5,mlg,,,,,nm,nm600238,2016-04-14T12:52:40.030Z,"8km S of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-07-08T17:36:51.500Z,36.1,-89.53,5,2.1,mlg,,,,,nm,nm600239,2016-04-14T12:52:46.110Z,"14km WNW of Dyersburg, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-08-09T06:40:24.900Z,36.59,-89.59,5,2,mlg,,,,,nm,nm600248,2016-04-14T12:53:40.830Z,"2km E of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-09T19:08:39.400Z,36.88,-89.43,5,2.1,mlg,,,,,nm,nm600249,2016-04-14T12:53:46.900Z,"8km WSW of Charleston, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-20T09:14:16.600Z,36.56,-89.8,5,2.3,mlg,,,,,nm,nm600253,2016-04-14T12:54:11.210Z,"14km E of Malden, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-25T00:44:14.500Z,37.23,-90.89,5,2.7,mlg,,,,,nm,nm600256,2016-04-14T12:54:29.450Z,"19km WNW of Piedmont, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-25T02:55:09.400Z,37.22,-90.88,5,2.1,mlg,,,,,nm,nm600257,2016-04-14T12:54:35.540Z,"17km WNW of Piedmont, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-25T03:01:28.400Z,37.23,-90.88,5,2.8,mlg,,,,,nm,nm600258,2016-04-14T12:54:41.610Z,"18km WNW of Piedmont, Missouri",earthquake,,,,,reviewed,nm,nm
1975-08-25T07:11:08.000Z,36.05,-89.84,11,3.3,mlg,,,,,nm,nm600259,2016-04-14T12:54:47.690Z,"3km SSW of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1975-09-17T00:00:34.200Z,36.59,-89.63,5,2,mlg,,,,,nm,nm600269,2016-04-14T12:55:48.660Z,"1km W of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
